
############### Grid Search ###############
---------------- RFC ----------------
Grid Search CV Results:
     mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
0         0.006089      0.000132         0.001607        0.000078   
1         0.010257      0.000608         0.001749        0.000202   
2         0.017550      0.000168         0.001887        0.000073   
3         0.041952      0.000989         0.003690        0.000388   
4         0.056942      0.000468         0.004397        0.000063   
5         0.083822      0.003403         0.006061        0.000213   
6         0.004821      0.000014         0.001007        0.000006   
7         0.009122      0.000077         0.001302        0.000014   
8         0.017560      0.000098         0.001836        0.000026   
9         0.043781      0.001366         0.003433        0.000078   
10        0.061101      0.002369         0.004544        0.000354   
11        0.085777      0.000930         0.006014        0.000037   
12        0.005068      0.000025         0.001028        0.000007   
13        0.009529      0.000065         0.001304        0.000009   
14        0.018895      0.001198         0.001847        0.000036   
15        0.045169      0.000341         0.003423        0.000011   
16        0.062117      0.000546         0.004484        0.000220   
17        0.093216      0.002553         0.006271        0.000304   
18        0.005148      0.000055         0.001016        0.000012   
19        0.009765      0.000073         0.001339        0.000043   
20        0.018865      0.000066         0.001830        0.000011   
21        0.046266      0.000112         0.003431        0.000028   
22        0.065305      0.001163         0.004544        0.000028   
23        0.092132      0.000512         0.006040        0.000046   
24        0.005022      0.000035         0.001019        0.000014   
25        0.009558      0.000283         0.001284        0.000015   
26        0.019052      0.000868         0.001814        0.000007   
27        0.044681      0.000256         0.003362        0.000025   
28        0.061956      0.000188         0.004357        0.000041   
29        0.088223      0.000904         0.005845        0.000072   
30        0.005633      0.000483         0.001046        0.000065   
31        0.010451      0.000425         0.001438        0.000315   
32        0.019893      0.000114         0.001825        0.000009   
33        0.048611      0.000282         0.003449        0.000112   
34        0.068341      0.000032         0.004534        0.000108   
35        0.098669      0.000739         0.006031        0.000142   
36        0.005974      0.000370         0.001032        0.000006   
37        0.011012      0.000087         0.001314        0.000012   
38        0.021580      0.000135         0.001860        0.000011   
39        0.052866      0.000138         0.003459        0.000007   
40        0.076446      0.003389         0.004500        0.000003   
41        0.104786      0.001390         0.006055        0.000076   
42        0.006062      0.000077         0.001037        0.000019   
43        0.011535      0.000019         0.001300        0.000008   
44        0.022601      0.000093         0.001856        0.000041   
45        0.055579      0.000303         0.003411        0.000011   
46        0.077419      0.000272         0.004537        0.000161   
47        0.110565      0.000911         0.006062        0.000048   
48        0.005527      0.000063         0.001058        0.000056   
49        0.010717      0.000316         0.001319        0.000042   
50        0.020470      0.000046         0.001795        0.000010   
51        0.051868      0.001388         0.003332        0.000012   
52        0.071277      0.001104         0.004334        0.000030   
53        0.099785      0.000302         0.005798        0.000013   
54        0.005664      0.000051         0.001025        0.000020   
55        0.010972      0.000106         0.001311        0.000019   
56        0.021541      0.000050         0.001819        0.000006   
57        0.053360      0.000650         0.003404        0.000025   
58        0.074211      0.000197         0.004492        0.000018   
59        0.105494      0.002115         0.005999        0.000082   
60        0.005832      0.000037         0.001018        0.000004   
61        0.011227      0.000047         0.001298        0.000027   
62        0.022204      0.000140         0.001822        0.000015   
63        0.054919      0.000098         0.003415        0.000023   
64        0.078465      0.002271         0.004769        0.000424   
65        0.108536      0.000368         0.006080        0.000078   
66        0.005999      0.000023         0.001026        0.000008   
67        0.011765      0.000437         0.001292        0.000012   
68        0.022987      0.000495         0.001983        0.000277   
69        0.055304      0.000080         0.003359        0.000012   
70        0.077913      0.000370         0.004452        0.000032   
71        0.111593      0.000383         0.006037        0.000017   
72        0.006028      0.000493         0.001006        0.000010   
73        0.011824      0.000438         0.001314        0.000021   
74        0.022516      0.000421         0.001873        0.000067   
75        0.054853      0.000291         0.003350        0.000034   
76        0.075698      0.000395         0.004374        0.000004   
77        0.109404      0.000309         0.005979        0.000049   
78        0.006244      0.000056         0.001020        0.000010   
