477-2015,205-2015,1072-2015,478-2015,206-2015,1073-2015,207-2015,560-2015,664-2015,962-2015,1210-2015,479-2015,710-2015,755-2015,1263-2015,1250-2015,96-2015,978-2015,771-2015,49-2015,532-2015,545-2015,741-2015,811-2015,1074-2015,846-2015,1192-2015,906-2015,480-2015,208-2015,1075-2015,77-2015,1213-2015,481-2015,209-2015,812-2015,1076-2015,324-2015,577-2015,482-2015,210-2015,813-2015,1077-2015,483-2015,645-2015,211-2015,772-2015,1078-2015,814-2015,97-2015,1193-2015,78-2015,869-2015,815-2015,854-2015,870-2015,816-2015,871-2015,817-2015,1194-2015,818-2015,819-2015,286-2015
MendotaPier15,KegonsaPier7,WaubesaPier5,MendotaPier15,KegonsaPier7,WaubesaPier5,KegonsaPier7,MendotaPier6,MendotaPier9,WaubesaPier3,WaubesaPier7,MendotaPier15,MononaBeach3,MononaPark12,WingraPier2,WingraPark3,KegonsaPier6,WaubesaPier4,MononaPark2,KegonsaPier3,MendotaPier22,MendotaPier23,MononaBeach5,MononaPier1,WaubesaPier5,MononaPier12,WaubesaPier6,MononaPier7,MendotaPier15,KegonsaPier7,WaubesaPier5,KegonsaPier4,WaubesaPier8,MendotaPier15,KegonsaPier7,MononaPier1,WaubesaPier5,MendotaBeach13,MendotaPier7,MendotaPier15,KegonsaPier7,MononaPier1,WaubesaPier5,MendotaPier15,MendotaPier8,KegonsaPier7,MononaPark2,WaubesaPier5,MononaPier1,KegonsaPier6,WaubesaPier6,KegonsaPier4,MononaPier14,MononaPier1,MononaPier13,MononaPier14,MononaPier1,MononaPier14,MononaPier1,WaubesaPier6,MononaPier1,MononaPier1,MendotaBeach12
Mendota,Kegonsa,Waubesa,Mendota,Kegonsa,Waubesa,Kegonsa,Mendota,Mendota,Waubesa,Waubesa,Mendota,Monona,Monona,Wingra,Wingra,Kegonsa,Waubesa,Monona,Kegonsa,Mendota,Mendota,Monona,Monona,Waubesa,Monona,Waubesa,Monona,Mendota,Kegonsa,Waubesa,Kegonsa,Waubesa,Mendota,Kegonsa,Monona,Waubesa,Mendota,Mendota,Mendota,Kegonsa,Monona,Waubesa,Mendota,Mendota,Kegonsa,Monona,Waubesa,Monona,Kegonsa,Waubesa,Kegonsa,Monona,Monona,Monona,Monona,Monona,Monona,Monona,Waubesa,Monona,Monona,Mendota
9/1/15,9/1/15,9/1/15,9/2/15,9/2/15,9/2/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/4/15,9/4/15,9/4/15,9/4/15,9/4/15,9/5/15,9/5/15,9/5/15,9/5/15,9/5/15,9/5/15,9/6/15,9/6/15,9/6/15,9/6/15,9/7/15,9/7/15,9/7/15,9/7/15,9/7/15,9/7/15,9/7/15,9/9/15,9/9/15,9/10/15,9/12/15,9/14/15,9/15/15,9/16/15,9/17/15,9/19/15,9/20/15,9/22/15,9/23/15,9/23/15
7:07:00,8:01:00,10:03:00,7:15:00,8:09:00,11:12:00,7:21:00,7:30:00,7:33:00,8:05:00,8:09:00,8:15:00,8:32:00,8:45:00,8:45:00,9:00:00,9:15:00,9:15:00,9:39:00,9:40:00,10:34:00,11:00:00,11:30:00,11:55:00,11:59:00,12:06:00,16:50:00,19:21:00,6:53:00,8:33:00,8:52:00,11:16:00,17:30:00,7:25:00,8:12:00,9:20:00,9:38:00,10:37:00,12:10:00,7:54:00,8:21:00,10:55:00,11:22:00,7:23:00,8:50:00,9:06:00,10:49:00,11:44:00,13:40:00,14:10:00,15:44:00,17:09:00,7:00:00,11:10:00,15:41:00,8:16:00,12:50:00,8:26:00,10:10:00,16:24:00,13:55:00,13:15:00,15:16:00
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,1.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333
0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,1.0,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1.0,1.0,0.333333333333,0.333333333333,0.333333333333
0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1.0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,1.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667
0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.666666666667,1.0,0.666666666667,0.333333333333,0.333333333333,0.333333333333
0.893512851897,0.871481028152,0.895960832313,0.905752753978,0.887392900857,0.911872705018,0.898408812729,0.944920440636,0.881272949816,0.869033047736,0.914320685435,0.917992656059,0.953488372093,0.929008567931,0.94247246022,0.915544675643,0.920440636475,0.906976744186,0.964504283966,0.884944920441,0.906976744186,0.973072215422,0.992656058752,0.964504283966,0.955936352509,0.953488372093,1.0,0.979192166463,0.954712362301,0.925336597307,0.925336597307,0.977968176255,0.980416156671,0.954712362301,0.90452876377,0.90452876377,0.94247246022,0.911872705018,0.951040391677,0.954712362301,0.911872705018,0.931456548348,0.958384332925,0.954712362301,0.951040391677,0.922888616891,0.969400244798,0.958384332925,0.964504283966,0.964504283966,0.951040391677,0.959608323133,0.848225214198,0.838433292534,0.911872705018,0.837209302326,0.876376988984,0.860465116279,0.810281517748,0.8788249694,0.882496940024,0.884944920441,0.867809057528
0.716666666667,0.558333333333,0.583333333333,0.716666666667,0.533333333333,0.583333333333,0.525,0.241666666667,0.775,0.616666666667,0.475,0.808333333333,0.975,1.0,1.0,0.516666666667,0.491666666667,0.5,0.791666666667,0.458333333333,0.5,0.608333333333,1.0,1.0,0.583333333333,1.0,0.591666666667,0.758333333333,0.708333333333,0.533333333333,0.625,0.65,0.558333333333,0.558333333333,0.533333333333,1.0,0.666666666667,0.916666666667,1.0,0.416666666667,0.533333333333,1.0,0.625,0.608333333333,0.693333333333,0.475,0.55,0.625,1.0,0.458333333333,0.533333333333,0.708333333333,1.0,1.0,0.916666666667,1.0,1.0,1.0,0.583333333333,0.616666666667,1.0,1.0,0.6
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
