MendotaBeach12,MendotaBeach13,MononaBeach11,MononaBeach16,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
4/12/16 16:00,4/12/16 11:48,4/12/16 12:00,4/12/16 12:25,4/1/15 13:00,4/2/15 17:00,4/4/15 15:03,4/6/15 16:00,4/8/15 15:09,4/9/15 15:13,4/11/15 15:30,4/12/15 10:15,4/14/15 13:15,4/15/15 16:04,4/16/15 15:13,4/17/15 14:17,4/18/15 16:19,4/19/15 13:30,4/23/15 14:16,4/24/15 10:06,4/25/15 14:30,4/26/15 10:51,4/27/15 11:08,4/28/15 12:17,4/29/15 11:03,4/30/15 0:15,4/4/16 17:25,4/5/16 15:39,4/6/16 14:45,4/8/16 13:24,4/10/16 15:17,4/12/16 15:45,4/13/16 15:11,4/14/16 16:05,4/15/16 14:11,4/18/16 16:59,4/21/16 9:50,4/23/16 17:11,4/28/16 11:16,4/29/16 20:04
0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,1.0,0.666666666667,1.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,1.0,0.666666666667,0.333333333333,1.0,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667
0.767772511848,0.676145339652,0.818325434439,0.725118483412,0.691943127962,0.761453396524,0.767772511848,0.846761453397,0.739336492891,0.739336492891,0.854660347551,0.767772511848,0.864139020537,0.829383886256,0.93522906793,0.988941548183,0.925750394945,0.932069510269,0.824644549763,0.807266982622,0.810426540284,0.807266982622,0.846761453397,0.905213270142,0.903633491311,0.895734597156,0.718799368088,0.712480252765,0.718799368088,0.696682464455,0.690363349131,0.793048973144,0.710900473934,0.733017377567,0.767772511848,1.0,0.906793048973,0.981042654028,0.846761453397,0.842022116904
0.620334620335,0.527670527671,0.504504504505,0.518661518662,0.84555984556,0.799227799228,0.670527670528,0.799227799228,0.580437580438,0.644787644788,0.785070785071,0.692406692407,0.812097812098,0.850707850708,0.898326898327,0.944658944659,0.898326898327,0.953667953668,0.65250965251,0.6138996139,0.640926640927,0.62676962677,0.687258687259,0.727155727156,0.759330759331,0.707850707851,0.481338481338,0.550836550837,0.620334620335,0.486486486486,0.624195624196,0.712998712999,0.648648648649,0.85842985843,0.953667953668,1.0,0.788931788932,0.930501930502,0.570141570142,0.689832689833
