MendotaBeach12,MendotaBeach13,MononaBeach11,MononaBeach16,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
4/12/16 16:00,4/12/16 11:48,4/12/16 12:00,4/12/16 12:25,4/1/15 13:00,4/2/15 17:00,4/4/15 15:03,4/6/15 16:00,4/8/15 15:09,4/9/15 15:13,4/11/15 15:30,4/12/15 10:15,4/14/15 13:15,4/15/15 16:04,4/16/15 15:13,4/17/15 14:17,4/18/15 16:19,4/19/15 13:30,4/23/15 14:16,4/24/15 10:06,4/25/15 14:30,4/26/15 10:51,4/27/15 11:08,4/28/15 12:17,4/29/15 11:03,4/30/15 0:15,4/4/16 17:25,4/5/16 15:39,4/6/16 14:45,4/8/16 13:24,4/10/16 15:17,4/12/16 15:45,4/13/16 15:11,4/14/16 16:05,4/15/16 14:11,4/18/16 16:59,4/21/16 9:50,4/23/16 17:11,4/28/16 11:16,4/29/16 20:04
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,3,2,3,1,2,1,1,1,1,2,3,2,1,3,2,1,2,2,2,1,2,2,3,2
48.6,42.8,51.8,45.9,43.8,48.2,48.6,53.6,46.8,46.8,54.1,48.6,54.7,52.5,59.2,62.6,58.6,59,52.2,51.1,51.3,51.1,53.6,57.3,57.2,56.7,45.5,45.1,45.5,44.1,43.7,50.2,45,46.4,48.6,63.3,57.4,62.1,53.6,53.3
48.2,41,39.2,40.3,65.7,62.1,52.1,62.1,45.1,50.1,61,53.8,63.1,66.1,69.8,73.4,69.8,74.1,50.7,47.7,49.8,48.7,53.4,56.5,59,55,37.4,42.8,48.2,37.8,48.5,55.4,50.4,66.7,74.1,77.7,61.3,72.3,44.3,53.6
95,82.5,95.2,96,67,64,63,81,78,74,74,75,111,82,91,89,81,73,120,120,120,120,120,120,120,110,73,74,76,70,74,74,81,76,71,71,116,107,120,120
0,0,0,0,0,0.02,0,0,1.01,1.72,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0.59,0.06,0.03,0,0,0,0,0,0,0,0.51,0.09
0,0.01,0.01,0,0,0.02,0,0,1.18,2.73,0.39,0.1,0.11,0,0,0,0,0,0.03,0,0.24,0.24,0,0,0,0,0,0,0.59,0.07,0.06,0,0,0,0,0,0.19,0,0.51,0.47
5.32,7.24,7.24,6.9,5.37,12.56,7.34,7.53,11.08,10.12,4.22,8.39,4.17,7.05,5.85,2.78,8.15,11.84,7.86,5,13.65,9.85,7.24,5.23,5.27,4.4,13.38,10.16,10.88,7,15.34,5.32,11.3,9.36,8.58,3.45,8.53,5.46,13.04,6.86
