542-2017,64-2017,206-2017,952-2017,785-2017,49-2017,1629-2017,331-2017,1105-2017,1084-2017,1742-2017,543-2017,665-2017,1009-2017,1484-2017,1743-2017,1888-2017,1281-2017,544-2017,1744-2017,1889-2017,1890-2017,1282-2017,95-2017,545-2017,1200-2017,1378-2017,1283-2017,1745-2017,332-2017,1010-2017,546-2017,666-2017,207-2017,1485-2017,547-2017,208-2017,548-2017,1011-2017,209-2017,667-2017,1572-2017,1379-2017,1486-2017,1834-2017,371-2017,1630-2017,549-2017,210-2017,1487-2017,786-2017,550-2017,668-2017,211-2017,1284-2017,96-2017,551-2017,1631-2017,212-2017,787-2017,1285-2017,413-2017,97-2017,552-2017,1488-2017,1380-2017,669-2017,553-2017,213-2017,788-2017,1489-2017,1286-2017,554-2017,214-2017,1490-2017,718-2017,555-2017,1381-2017,1491-2017,372-2017,789-2017,1835-2017,215-2017,671-2017,556-2017,216-2017,1492-2017,719-2017,557-2017,672-2017,217-2017,1632-2017,790-2017,1287-2017,1493-2017,98-2017,558-2017,1288-2017,1012-2017,559-2017,1494-2017,1382-2017,1289-2017,560-2017,218-2017,1495-2017,1290-2017,219-2017,791-2017,561-2017,1496-2017,1291-2017,1013-2017,562-2017,220-2017,1836-2017,792-2017,1383-2017,1573-2017,563-2017,1497-2017,1292-2017,564-2017,1498-2017,99-2017,565-2017,1499-2017,1293-2017,414-2017,566-2017,1574-2017,1134-2017,1633-2017,1384-2017,1500-2017,793-2017,1294-2017,567-2017,221-2017,794-2017,1501-2017,1295-2017,568-2017,222-2017,1502-2017,272-2017,1296-2017,569-2017,673-2017,223-2017,1503-2017,1385-2017,1297-2017,570-2017,224-2017,1504-2017,1298-2017,225-2017,571-2017,1299-2017,1505-2017,100-2017
MendotaPier15,KegonsaPier3,KegonsaPier7,MendotaPier35,MendotaPier31,KegonsaPier1,WaubesaPier4,MendotaBeach13,MononaBeach16,MononaBeach11,WaubesaPier5,MendotaPier15,MendotaPier2,MendotaPier7,MononaPier21,WaubesaPier5,WingraBeach1,MononaPier1,MendotaPier15,WaubesaPier5,WingraBeach1,WingraBeach1,MononaPier1,KegonsaPier4,MendotaPier15,MononaPark2,MononaPier15,MononaPier1,WaubesaPier5,MendotaBeach13,MendotaPier7,MendotaPier15,MendotaPier2,KegonsaPier7,MononaPier21,MendotaPier15,KegonsaPier7,MendotaPier15,MendotaPier7,KegonsaPier7,MendotaPier2,MononaPier8,MononaPier15,MononaPier21,WaubesaPier8,MendotaBeach32,WaubesaPier4,MendotaPier15,KegonsaPier7,MononaPier21,MendotaPier31,MendotaPier15,MendotaPier2,KegonsaPier7,MononaPier1,KegonsaPier4,MendotaPier15,WaubesaPier4,KegonsaPier7,MendotaPier31,MononaPier1,MendotaPier10,KegonsaPier4,MendotaPier15,MononaPier21,MononaPier15,MendotaPier2,MendotaPier15,KegonsaPier7,MendotaPier31,MononaPier21,MononaPier1,MendotaPier15,KegonsaPier7,MononaPier21,MendotaPier27,MendotaPier15,MononaPier15,MononaPier21,MendotaBeach32,MendotaPier31,WaubesaPier8,KegonsaPier7,MendotaPier2,MendotaPier15,KegonsaPier7,MononaPier21,MendotaPier27,MendotaPier15,MendotaPier2,KegonsaPier7,WaubesaPier4,MendotaPier31,MononaPier1,MononaPier21,KegonsaPier4,MendotaPier15,MononaPier1,MendotaPier7,MendotaPier15,MononaPier21,MononaPier15,MononaPier1,MendotaPier15,KegonsaPier7,MononaPier21,MononaPier1,KegonsaPier7,MendotaPier31,MendotaPier15,MononaPier21,MononaPier1,MendotaPier7,MendotaPier15,KegonsaPier7,WaubesaPier8,MendotaPier31,MononaPier15,MononaPier8,MendotaPier15,MononaPier21,MononaPier1,MendotaPier15,MononaPier21,KegonsaPier4,MendotaPier15,MononaPier21,MononaPier1,MendotaPier10,MendotaPier15,MononaPier8,MononaBeach18,WaubesaPier4,MononaPier15,MononaPier21,MendotaPier31,MononaPier1,MendotaPier15,KegonsaPier7,MendotaPier31,MononaPier21,MononaPier1,MendotaPier15,KegonsaPier7,MononaPier21,MendotaBeach12,MononaPier1,MendotaPier15,MendotaPier2,KegonsaPier7,MononaPier21,MononaPier15,MononaPier1,MendotaPier15,KegonsaPier7,MononaPier21,MononaPier1,KegonsaPier7,MendotaPier15,MononaPier1,MononaPier21,KegonsaPier4
Mendota,Kegonsa,Kegonsa,Mendota,Mendota,Kegonsa,Waubesa,Mendota,Monona,Monona,Waubesa,Mendota,Mendota,Mendota,Monona,Waubesa,Wingra,Monona,Mendota,Waubesa,Wingra,Wingra,Monona,Kegonsa,Mendota,Monona,Monona,Monona,Waubesa,Mendota,Mendota,Mendota,Mendota,Kegonsa,Monona,Mendota,Kegonsa,Mendota,Mendota,Kegonsa,Mendota,Monona,Monona,Monona,Waubesa,Mendota,Waubesa,Mendota,Kegonsa,Monona,Mendota,Mendota,Mendota,Kegonsa,Monona,Kegonsa,Mendota,Waubesa,Kegonsa,Mendota,Monona,Mendota,Kegonsa,Mendota,Monona,Monona,Mendota,Mendota,Kegonsa,Mendota,Monona,Monona,Mendota,Kegonsa,Monona,Mendota,Mendota,Monona,Monona,Mendota,Mendota,Waubesa,Kegonsa,Mendota,Mendota,Kegonsa,Monona,Mendota,Mendota,Mendota,Kegonsa,Waubesa,Mendota,Monona,Monona,Kegonsa,Mendota,Monona,Mendota,Mendota,Monona,Monona,Monona,Mendota,Kegonsa,Monona,Monona,Kegonsa,Mendota,Mendota,Monona,Monona,Mendota,Mendota,Kegonsa,Waubesa,Mendota,Monona,Monona,Mendota,Monona,Monona,Mendota,Monona,Kegonsa,Mendota,Monona,Monona,Mendota,Mendota,Monona,Monona,Waubesa,Monona,Monona,Mendota,Monona,Mendota,Kegonsa,Mendota,Monona,Monona,Mendota,Kegonsa,Monona,Mendota,Monona,Mendota,Mendota,Kegonsa,Monona,Monona,Monona,Mendota,Kegonsa,Monona,Monona,Kegonsa,Mendota,Monona,Monona,Kegonsa
9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/2/17,9/2/17,9/2/17,9/2/17,9/2/17,9/2/17,9/2/17,9/3/17,9/3/17,9/3/17,9/3/17,9/3/17,9/3/17,9/4/17,9/4/17,9/4/17,9/4/17,9/4/17,9/4/17,9/4/17,9/5/17,9/5/17,9/5/17,9/5/17,9/6/17,9/6/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/8/17,9/8/17,9/8/17,9/8/17,9/9/17,9/9/17,9/9/17,9/9/17,9/9/17,9/10/17,9/10/17,9/10/17,9/10/17,9/10/17,9/10/17,9/10/17,9/11/17,9/11/17,9/11/17,9/12/17,9/12/17,9/12/17,9/12/17,9/12/17,9/12/17,9/13/17,9/13/17,9/13/17,9/13/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/15/17,9/15/17,9/15/17,9/15/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/17/17,9/17/17,9/17/17,9/18/17,9/18/17,9/18/17,9/18/17,9/19/17,9/19/17,9/19/17,9/19/17,9/20/17,9/20/17,9/20/17,9/20/17,9/20/17,9/21/17,9/21/17,9/21/17,9/21/17,9/21/17,9/21/17,9/21/17,9/22/17,9/22/17,9/23/17,9/23/17,9/23/17,9/23/17,9/24/17,9/24/17,9/24/17,9/24/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/26/17,9/26/17,9/26/17,9/26/17,9/26/17,9/27/17,9/27/17,9/27/17,9/27/17,9/27/17,9/28/17,9/28/17,9/28/17,9/28/17,9/28/17,9/28/17,9/29/17,9/29/17,9/29/17,9/29/17,9/30/17,9/30/17,9/30/17,9/30/17,9/30/17
6:56:00,7:00:00,7:06:00,8:00:00,8:47:00,9:00:00,9:28:00,11:00:00,11:40:00,13:00:00,13:24:00,8:09:00,8:30:00,8:39:00,11:20:00,11:29:00,12:00:00,14:05:00,7:35:00,10:14:00,11:10:00,11:10:00,13:30:00,18:59:00,8:05:00,9:01:00,9:39:00,11:30:00,11:52:00,13:00:00,13:45:00,7:18:00,7:22:00,9:33:00,10:40:00,7:50:00,9:15:00,8:24:00,8:40:00,8:47:00,9:00:00,9:57:00,10:10:00,10:49:00,13:22:00,16:49:00,18:36:00,6:58:00,8:13:00,9:06:00,9:16:00,6:45:00,8:00:00,8:21:00,11:15:00,17:41:00,7:57:00,9:00:00,9:35:00,10:00:00,11:55:00,12:30:00,13:11:00,8:20:00,10:15:00,10:34:00,8:08:00,8:20:00,8:53:00,9:14:00,10:26:00,13:15:00,8:12:00,8:46:00,9:33:00,17:23:00,7:13:00,10:13:00,10:27:00,11:34:00,11:39:00,12:18:00,14:12:00,16:33:00,7:01:00,8:29:00,10:16:00,12:09:00,6:51:00,8:42:00,9:15:00,9:40:00,11:10:00,11:15:00,13:45:00,16:14:00,11:58:00,13:50:00,18:37:00,7:20:00,10:12:00,10:22:00,18:40:00,8:07:00,8:55:00,11:15:00,18:40:00,7:54:00,9:15:00,10:06:00,10:40:00,18:10:00,7:46:00,7:55:00,8:54:00,9:19:00,9:39:00,9:43:00,9:56:00,7:00:00,9:10:00,0:00:00,7:07:00,10:35:00,17:11:00,7:28:00,10:49:00,13:30:00,14:15:00,7:26:00,7:34:00,7:35:00,9:10:00,9:25:00,10:23:00,17:18:00,18:15:00,7:47:00,8:24:00,8:45:00,9:40:00,18:05:00,7:30:00,8:20:00,9:48:00,15:13:00,16:45:00,7:24:00,8:20:00,8:34:00,10:13:00,10:50:00,18:15:00,7:24:00,8:49:00,11:03:00,18:50:00,7:46:00,9:36:00,11:00:00,11:08:00,15:12:00
1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,3,1,1,2,1,2,2,1,2,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1
2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,3,1,2,2,1,1,1,2,1,1,3,1,1,1,1,1,3,1,1,1,3,1,3,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,3,1,3,2,1,2,2,1,2,1,2,1,3,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2
1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,3,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1
