1084-2015,1085-2015,1086-2015,1087-2015,1088-2015,1089-2015,1090-2015,1091-2015,1092-2015,1093-2015,1094-2015,1095-2015,1096-2015,1097-2015,1098-2015,1099-2015,1100-2015,1101-2015,1102-2015,1103-2015,1104-2015,1105-2015
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa
4/1/15,4/2/15,4/4/15,4/6/15,4/8/15,4/9/15,4/11/15,4/12/15,4/14/15,4/15/15,4/16/15,4/17/15,4/18/15,4/19/15,4/23/15,4/24/15,4/25/15,4/26/15,4/27/15,4/28/15,4/29/15,4/30/15
13:00:00,17:00:00,15:03:00,16:00:00,15:09:00,15:13:00,15:30:00,10:15:00,13:15:00,16:04:00,15:13:00,14:17:00,16:19:00,13:30:00,14:16:00,10:06:00,14:30:00,10:51:00,11:08:00,12:17:00,11:03:00,0:15:00
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,1,2,1,2,2,1,2,1,1,3,2,3,1,2,1,1,1,1,2
43.8,48.2,48.6,53.6,46.8,46.8,54.1,48.6,54.7,52.5,59.2,62.6,58.6,59,52.2,51.1,51.3,51.1,53.6,57.3,57.2,56.7
67,64,63,81,78,74,74,75,111,82,91,89,81,73,120,120,120,120,120,120,120,110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
