1106-2015,1107-2015,1108-2015,1109-2015,1110-2015,1111-2015,50-2015,1112-2015,98-2015,35-2015,831-2015,99-2015,1113-2015,526-2015,100-2015,1114-2015,832-2015,361-2015,362-2015,101-2015,1115-2015,363-2015,102-2015,1116-2015,364-2015,103-2015,872-2015,1117-2015,979-2015,561-2015,104-2015,873-2015,718-2015,1118-2015,1-2015,287-2015,365-2015,773-2015,366-2015,288-2015,401-2015,820-2015,350-2015,742-2015,546-2015,855-2015,105-2015,1119-2015,1235-2015,79-2015,484-2015,498-2015,696-2015,719-2015,980-2015,212-2015,2-2015,756-2015,833-2015,1195-2015,533-2015,847-2015,874-2015,367-2015,106-2015,1120-2015,289-2015,981-2015,51-2015,368-2015,107-2015,1121-2015,875-2015,963-2015,562-2015,982-2015,52-2015,848-2015,578-2015,579-2015,1122-2015,369-2015,947-2015,108-2015,580-2015,370-2015,1123-2015,53-2015,983-2015,290-2015,876-2015,581-2015,371-2015,109-2015,1124-2015,964-2015,36-2015,984-2015,918-2015,582-2015,372-2015,110-2015,1125-2015,720-2015,231-2015,877-2015,3-2015,291-2015,985-2015,54-2015,583-2015,373-2015,292-2015,547-2015,948-2015,743-2015,111-2015,80-2015,499-2015,232-2015,856-2015,214-2015,485-2015,665-2015,1196-2015,213-2015,534-2015,834-2015,924-2015,721-2015,683-2015,1251-2015,4-2015,697-2015,527-2015,1214-2015,896-2015,986-2015,37-2015,757-2015,1126-2015,1127-2015,646-2015,907-2015,584-2015,1128-2015,112-2015,374-2015,987-2015,5-2015,821-2015,293-2015,585-2015,113-2015,1129-2015,6-2015,294-2015,586-2015,375-2015,1130-2015,402-2015,114-2015,528-2015,563-2015,55-2015,7-2015,698-2015,988-2015,351-2015,295-2015
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,KegonsaPier4,WaubesaPier6,KegonsaPier7,KegonsaPier3,MononaPier12,KegonsaPier7,WaubesaPier6,MendotaPier22,KegonsaPier7,WaubesaPier6,MononaPier12,MendotaPier14,MendotaPier14,KegonsaPier7,WaubesaPier6,MendotaPier14,KegonsaPier7,WaubesaPier6,MendotaPier14,KegonsaPier7,MononaPier15,WaubesaPier6,WaubesaPier5,MendotaPier7,KegonsaPier7,MononaPier15,MononaBeach5,WaubesaPier6,KegonsaPier1,MendotaBeach13,MendotaPier14,MononaPier1,MendotaPier14,MendotaBeach13,MendotaPier15,MononaPier10,MendotaPier10,MononaPark12,MendotaPier6,MononaPier14,KegonsaPier7,WaubesaPier6,WingraPark3,KegonsaPier6,MendotaPier16,MendotaPier17,MononaBeach3,MononaBeach5,WaubesaPier5,Mendota3,KegonsaPier1,MononaPark2,MononaPier12,WaubesaPier7,MendotaPier23,MononaPier13,MononaPier15,MendotaPier14,KegonsaPier7,WaubesaPier6,MendotaBeach13,WaubesaPier5,KegonsaPier4,MendotaPier14,KegonsaPier7,WaubesaPier6,MononaPier15,WaubesaPier4,MendotaPier7,WaubesaPier5,KegonsaPier4,MononaPier13,MendotaPier8,MendotaPier8,WaubesaPier6,MendotaPier14,WaubesaPier3,KegonsaPier7,MendotaPier8,MendotaPier14,WaubesaPier6,KegonsaPier4,WaubesaPier5,MendotaBeach13,MononaPier15,MendotaPier8,MendotaPier14,KegonsaPier7,WaubesaPier6,WaubesaPier4,KegonsaPier3,WaubesaPier5,MononaPier9,MendotaPier8,MendotaPier14,KegonsaPier7,WaubesaPier6,MononaBeach5,MendotaBeach12,MononaPier15,KegonsaPier1,MendotaBeach13,WaubesaPier5,KegonsaPier4,MendotaPier8,MendotaPier14,MendotaBeach13,MendotaPier6,WaubesaPier3,MononaPark12,KegonsaPier7,KegonsaPier6,MendotaPier17,MendotaBeach12,MononaPier14,MendotaBeach1,MendotaPier16,MononaBeach16,WaubesaPier7,Mendota3,MendotaPier23,MononaPier12,WaubesaBeach1,MononaBeach5,MononaBeach18,WingraPier2,KegonsaPier1,MononaBeach3,MendotaPier22,WingraBeach1,MononaPier7,WaubesaPier5,KegonsaPier3,MononaPark2,WaubesaPier6,WaubesaPier6,MendotaPier9,MononaPier8,MendotaPier8,WaubesaPier6,KegonsaPier7,MendotaPier14,WaubesaPier5,KegonsaPier1,MononaPier10,MendotaBeach13,MendotaPier8,KegonsaPier7,WaubesaPier6,KegonsaPier1,MendotaBeach13,MendotaPier8,MendotaPier14,WaubesaPier6,MendotaPier15,KegonsaPier7,MendotaPier22,MendotaPier7,KegonsaPier4,KegonsaPier1,MononaBeach3,WaubesaPier5,MendotaPier10,MendotaBeach13
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Kegonsa,Waubesa,Kegonsa,Kegonsa,Monona,Kegonsa,Waubesa,Mendota,Kegonsa,Waubesa,Monona,Mendota,Mendota,Kegonsa,Waubesa,Mendota,Kegonsa,Waubesa,Mendota,Kegonsa,Monona,Waubesa,Waubesa,Mendota,Kegonsa,Monona,Monona,Waubesa,Kegonsa,Mendota,Mendota,Monona,Mendota,Mendota,Mendota,Monona,Mendota,Monona,Mendota,Monona,Kegonsa,Waubesa,Wingra,Kegonsa,Mendota,Mendota,Monona,Monona,Waubesa,Mendota,Kegonsa,Monona,Monona,Waubesa,Mendota,Monona,Monona,Mendota,Kegonsa,Waubesa,Mendota,Waubesa,Kegonsa,Mendota,Kegonsa,Waubesa,Monona,Waubesa,Mendota,Waubesa,Kegonsa,Monona,Mendota,Mendota,Waubesa,Mendota,Waubesa,Kegonsa,Mendota,Mendota,Waubesa,Kegonsa,Waubesa,Mendota,Monona,Mendota,Mendota,Kegonsa,Waubesa,Waubesa,Kegonsa,Waubesa,Monona,Mendota,Mendota,Kegonsa,Waubesa,Monona,Mendota,Monona,Kegonsa,Mendota,Waubesa,Kegonsa,Mendota,Mendota,Mendota,Mendota,Waubesa,Monona,Kegonsa,Kegonsa,Mendota,Mendota,Monona,Mendota,Mendota,Monona,Waubesa,Mendota,Mendota,Monona,Waubesa,Monona,Monona,Wingra,Kegonsa,Monona,Mendota,Wingra,Monona,Waubesa,Kegonsa,Monona,Waubesa,Waubesa,Mendota,Monona,Mendota,Waubesa,Kegonsa,Mendota,Waubesa,Kegonsa,Monona,Mendota,Mendota,Kegonsa,Waubesa,Kegonsa,Mendota,Mendota,Mendota,Waubesa,Mendota,Kegonsa,Mendota,Mendota,Kegonsa,Kegonsa,Monona,Waubesa,Mendota,Mendota
5/1/15,5/1/15,5/2/15,5/2/15,5/3/15,5/3/15,5/13/15,5/14/15,5/14/15,5/14/15,5/14/15,5/15/15,5/15/15,5/15/15,5/16/15,5/16/15,5/16/15,5/17/15,5/17/15,5/17/15,5/17/15,5/18/15,5/18/15,5/18/15,5/19/15,5/19/15,5/19/15,5/19/15,5/19/15,5/19/15,5/20/15,5/20/15,5/20/15,5/20/15,5/20/15,5/20/15,5/20/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/21/15,5/22/15,5/22/15,5/22/15,5/22/15,5/22/15,5/22/15,5/23/15,5/23/15,5/23/15,5/23/15,5/23/15,5/23/15,5/23/15,5/23/15,5/23/15,5/23/15,5/24/15,5/24/15,5/24/15,5/24/15,5/24/15,5/25/15,5/25/15,5/25/15,5/25/15,5/25/15,5/25/15,5/25/15,5/26/15,5/26/15,5/26/15,5/26/15,5/26/15,5/26/15,5/26/15,5/26/15,5/27/15,5/27/15,5/27/15,5/27/15,5/27/15,5/27/15,5/27/15,5/27/15,5/27/15,5/27/15,5/27/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/28/15,5/29/15,5/29/15,5/29/15,5/29/15,5/29/15,5/29/15,5/29/15,5/29/15,5/30/15,5/30/15,5/30/15,5/30/15,5/30/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15,5/31/15
9:45:00,20:05:00,7:45:00,16:12:00,6:40:00,14:30:00,19:11:00,6:28:00,8:50:00,10:05:00,10:57:00,8:53:00,9:10:00,11:08:00,8:55:00,10:19:00,13:53:00,7:30:00,7:30:00,8:19:00,8:51:00,6:20:00,8:20:00,8:49:00,6:20:00,8:41:00,10:23:00,11:14:00,17:00:00,17:21:00,7:50:00,10:45:00,11:15:00,11:38:00,11:45:00,14:30:00,17:52:00,0:00:00,6:00:00,7:10:00,7:33:00,7:37:00,7:45:00,8:00:00,8:05:00,8:06:00,8:18:00,8:55:00,9:14:00,9:20:00,9:55:00,10:10:00,10:17:00,10:26:00,10:40:00,11:14:00,11:15:00,11:26:00,11:54:00,12:30:00,15:34:00,15:58:00,18:15:00,6:13:00,8:08:00,10:38:00,11:17:00,15:48:00,17:10:00,6:32:00,8:19:00,9:43:00,10:03:00,10:41:00,11:59:00,12:15:00,17:23:00,18:54:00,20:25:00,5:57:00,7:26:00,8:00:00,8:00:00,8:12:00,5:57:00,7:00:00,9:14:00,9:27:00,12:23:00,13:30:00,15:50:00,5:46:00,6:00:00,8:35:00,8:43:00,9:52:00,10:00:00,16:15:00,19:50:00,5:47:00,6:22:00,8:44:00,8:54:00,9:10:00,9:25:00,10:50:00,11:00:00,12:20:00,15:40:00,17:40:00,6:02:00,6:08:00,7:20:00,7:30:00,8:00:00,8:15:00,8:16:00,9:05:00,9:16:00,9:20:00,9:22:00,9:48:00,9:55:00,10:05:00,10:22:00,10:24:00,10:36:00,10:43:00,10:55:00,11:06:00,11:15:00,11:20:00,11:28:00,11:28:00,11:33:00,11:44:00,12:25:00,14:40:00,15:15:00,16:26:00,17:16:00,17:29:00,17:43:00,18:30:00,7:08:00,7:12:00,8:02:00,9:45:00,10:50:00,12:15:00,13:15:00,16:20:00,7:16:00,8:13:00,14:01:00,15:15:00,17:42:00,6:44:00,7:30:00,8:29:00,8:53:00,9:26:00,10:11:00,10:16:00,11:23:00,14:00:00,14:50:00,14:55:00,15:30:00,18:17:00
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,0,1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,3,1,1,1,3,1,3,3,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,3,1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,2,3,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,0,1,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,2,2,1,0,0,2,2,0,1,0,2,0,2,0,0,0,0,1,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,0,1,2,2,2,1,1,1,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,3,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1
0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,2,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,3,1,1,2,1,2,2,1,1,3,1,1,1,1,2,0,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,1,2,3,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,3,1,1,1,2,2,1,1,1,1,2,1,3,1,3,1,1,1,1,1
1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1
