749-2016,642-2016,831-2016,1547-2016,655-2016,730-2016,512-2016,986-2016,138-2016,1633-2016,1112-2016,1127-2016,418-2016,1355-2016,677-2016,1333-2016,108-2016,713-2016,1565-2016,239-2016,591-2016,610-2016,1008-2016,1106-2016,21-2016,1321-2016,1255-2016,1044-2016,1371-2016,388-2016,85-2016,1273-2016,944-2016,442-2016,506-2016,1144-2016,1367-2016,22-2016,141-2016,649-2016,347-2016,508-2016,1224-2016,1375-2016,346-2016,511-2016,1373-2016,1153-2016,678-2016,745-2016,500-2016,1366-2016,1054-2016,848-2016,495-2016,1370-2016,140-2016,1169-2016,832-2016,747-2016,70-2016,1347-2016,393-2016,386-2016,652-2016,681-2016,611-2016,14-2016,1107-2016,238-2016,1043-2016,224-2016,1272-2016,943-2016,1316-2016,746-2016,672-2016,142-2016,1049-2016,676-2016,84-2016
MendotaPier7,MendotaPier26,MendotaPier9,WaubesaPier7,MendotaPier27,MendotaPier6,MendotaPier15,MononaPark12,KegonsaPier7,WingraPier2,MononaPier14,MononaPier15,MendotaPark29,WaubesaPier4,MendotaPier31,WaubesaPier2,KegonsaPier6,MendotaPier33,WaubesaPier8,MendotaBeach1,MendotaPier16,MendotaPier2,MononaPark2,MononaPier12,KegonsaPier1,WaubesaPark9,MononaPier7,MononaPier1,WaubesaPier5,MendotaBeach32,KegonsaPier4,MononaPier8,MononaBeach18,MendotaPier11,MendotaPier15,MononaPier21,WaubesaPier5,KegonsaPier1,KegonsaPier7,MendotaPier26,MendotaBeach13,MendotaPier15,MononaPier21,WaubesaPier5,MendotaBeach13,MendotaPier15,WaubesaPier5,MononaPier21,MendotaPier31,MendotaPier7,MendotaPier15,WaubesaPier5,MononaPier1,MononaBeach11,MendotaPier15,WaubesaPier5,KegonsaPier7,MononaPier21,MendotaPier9,MendotaPier7,KegonsaPier3,WaubesaPier4,MendotaBeach32,MendotaBeach30,MendotaPier27,MendotaPier31,MendotaPier2,KegonsaPier1,MononaPier12,MendotaBeach1,MononaPier1,MendotaPier3,MononaPier8,MononaBeach18,WaubesaBeach1,MendotaPier7,MendotaPier31,KegonsaPier7,MononaPier1,MendotaPier31,KegonsaPier4
Mendota,Mendota,Mendota,Waubesa,Mendota,Mendota,Mendota,Monona,Kegonsa,Wingra,Monona,Monona,Mendota,Waubesa,Mendota,Waubesa,Kegonsa,Mendota,Waubesa,Mendota,Mendota,Mendota,Monona,Monona,Kegonsa,Waubesa,Monona,Monona,Waubesa,Mendota,Kegonsa,Monona,Monona,Mendota,Mendota,Monona,Waubesa,Kegonsa,Kegonsa,Mendota,Mendota,Mendota,Monona,Waubesa,Mendota,Mendota,Waubesa,Monona,Mendota,Mendota,Mendota,Waubesa,Monona,Monona,Mendota,Waubesa,Kegonsa,Monona,Mendota,Mendota,Kegonsa,Waubesa,Mendota,Mendota,Mendota,Mendota,Mendota,Kegonsa,Monona,Mendota,Monona,Mendota,Monona,Monona,Waubesa,Mendota,Mendota,Kegonsa,Monona,Mendota,Kegonsa
9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/2/16,9/2/16,9/2/16,9/2/16,9/2/16,9/2/16,9/2/16,9/3/16,9/3/16,9/3/16,9/3/16,9/4/16,9/4/16,9/4/16,9/4/16,9/4/16,9/5/16,9/5/16,9/5/16,9/5/16,9/6/16,9/6/16,9/6/16,9/6/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/9/16,9/9/16,9/9/16,9/11/16,9/11/16,9/12/16
7:14:00,7:40:00,7:43:00,7:49:00,7:54:00,8:00:00,8:09:00,8:30:00,8:32:00,8:45:00,8:46:00,9:00:00,9:08:00,9:15:00,9:24:00,9:34:00,9:45:00,10:13:00,10:15:00,10:45:00,10:49:00,10:49:00,11:01:00,11:10:00,11:15:00,11:40:00,11:52:00,11:55:00,12:26:00,13:00:00,15:50:00,16:30:00,16:55:00,19:23:00,6:58:00,8:45:00,9:34:00,11:00:00,14:01:00,14:13:00,19:42:00,7:31:00,9:30:00,9:37:00,14:29:00,7:45:00,9:17:00,11:00:00,11:04:00,16:06:00,6:49:00,10:03:00,13:20:00,19:29:00,7:48:00,7:55:00,9:01:00,9:25:00,7:45:00,8:01:00,9:00:00,9:20:00,9:30:00,9:58:00,10:10:00,10:15:00,10:17:00,10:45:00,10:55:00,11:23:00,11:59:00,13:32:00,15:00:00,15:15:00,17:33:00,8:18:00,9:01:00,9:18:00,12:50:00,13:26:00,16:23:00
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1
1,2,2,3,1,2,1,1,1,2,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,3
1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
