1518-2016,1529-2016,1528-2016,1523-2016,1533-2016,362-2016,853-2016,855-2016,1542-2016,295-2016,1535-2016,1526-2016,1539-2016,1546-2016,1493-2016,1492-2016,1481-2016,1491-2016
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,MendotaBeach13,MononaBeach11,MononaBeach16,WaubesaPier6,MendotaBeach12,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Mendota,Monona,Monona,Waubesa,Mendota,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa
4/4/16,4/5/16,4/6/16,4/8/16,4/10/16,4/12/16,4/12/16,4/12/16,4/12/16,4/12/16,4/13/16,4/14/16,4/15/16,4/18/16,4/21/16,4/23/16,4/28/16,4/29/16
17:25:00,15:39:00,14:45:00,13:24:00,15:17:00,11:48:00,12:00:00,12:25:00,15:45:00,16:00:00,15:11:00,16:05:00,14:11:00,16:59:00,9:50:00,17:11:00,11:16:00,20:04:00
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
0,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1
1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
3,2,1,3,2,1,1,2,1,1,2,2,2,1,2,2,3,2
45.5,45.1,45.5,44.1,43.7,42.8,51.8,45.9,50.2,48.6,45,46.4,48.6,63.3,57.4,62.1,53.6,53.3
73,74,76,70,74,82.5,95.2,96,74,95,81,76,71,71,116,107,120,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
