572-2017,226-2017,795-2017,1300-2017,415-2017,573-2017,1386-2017,796-2017,574-2017,1301-2017,575-2017,1506-2017,1634-2017,1507-2017,576-2017,797-2017,1302-2017,577-2017,798-2017,1303-2017,578-2017,1575-2017,1508-2017,1304-2017,101-2017,579-2017,799-2017,1509-2017,1305-2017,580-2017,1635-2017,1636-2017,1637-2017,1510-2017,1511-2017,273-2017,1512-2017,800-2017,1306-2017,801-2017,1513-2017,1514-2017,1321-2017,1307-2017,274-2017,1308-2017,1309-2017
MendotaPier15,KegonsaPier7,MendotaPier31,MononaPier1,MendotaPier10,MendotaPier15,MononaPier15,MendotaPier31,MendotaPier15,MononaPier1,MendotaPier15,MononaPier21,WaubesaPier4,MononaPier21,MendotaPier15,MendotaPier31,MononaPier1,MendotaPier15,MendotaPier31,MononaPier1,MendotaPier15,MononaPier8,MononaPier21,MononaPier1,KegonsaPier4,MendotaPier15,MendotaPier31,MononaPier21,MononaPier1,MendotaPier15,WaubesaPier4,WaubesaPier4,WaubesaPier4,MononaPier21,MononaPier21,MendotaBeach12,MononaPier21,MendotaPier31,MononaPier1,MendotaPier31,MononaPier21,MononaPier21,MononaPier10,MononaPier1,MendotaBeach12,MononaPier1,MononaPier1
Mendota,Kegonsa,Mendota,Monona,Mendota,Mendota,Monona,Mendota,Mendota,Monona,Mendota,Monona,Waubesa,Monona,Mendota,Mendota,Monona,Mendota,Mendota,Monona,Mendota,Monona,Monona,Monona,Kegonsa,Mendota,Mendota,Monona,Monona,Mendota,Waubesa,Waubesa,Waubesa,Monona,Monona,Mendota,Monona,Mendota,Monona,Mendota,Monona,Monona,Monona,Monona,Mendota,Monona,Monona
10/1/17,10/1/17,10/1/17,10/1/17,10/1/17,10/2/17,10/2/17,10/2/17,10/3/17,10/3/17,10/4/17,10/4/17,10/5/17,10/5/17,10/5/17,10/5/17,10/5/17,10/6/17,10/6/17,10/6/17,10/7/17,10/7/17,10/7/17,10/7/17,10/7/17,10/8/17,10/8/17,10/8/17,10/8/17,10/9/17,10/9/17,10/9/17,10/9/17,10/11/17,10/12/17,10/12/17,10/13/17,10/13/17,10/15/17,10/16/17,10/16/17,10/17/17,10/17/17,10/17/17,10/18/17,10/18/17,10/21/17
7:49:00,8:32:00,10:12:00,12:55:00,15:05:00,7:50:00,9:21:00,18:13:00,8:13:00,18:25:00,8:19:00,9:55:00,9:20:00,9:35:00,11:05:00,14:57:00,17:55:00,9:10:00,11:34:00,13:00:00,7:07:00,10:10:00,10:56:00,11:15:00,13:43:00,7:54:00,8:54:00,9:36:00,11:20:00,8:45:00,9:05:00,9:05:00,9:05:00,10:07:00,10:22:00,16:51:00,10:09:00,14:49:00,12:10:00,10:09:00,10:16:00,10:08:00,13:33:00,17:25:00,15:55:00,17:05:00,11:25:00
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1
3,1,1,1,1,3,0,1,3,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1
1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,3,1,1,2,1,1,1,3,2,1,2,2
3,1,1,2,1,2,3,1,3,2,1,2,1,1,1,2,1,2,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,3,2,2,2,2,2
63,65.1,64.9,66.4,63.1,63,NA,66,65,68.7,67,65.8,67.3,66,64,66.8,67.6,65,65.8,66.9,64,66.9,66.2,65.7,66.9,63,62.2,63.9,65.7,64,66.2,66.2,66.2,61.9,62.6,62.6,61.7,63,58.3,58.8,60.8,58.3,NA,62.6,66.2,62.1,60.6
24,86,120,120,120,47,118,120,44,120,120,120,45,120,120,120,112,90,120,120,30,115,120,120,81,100,120,120,120,120,65,65,65,120,120,118,120,120,28,120,120,120,NA,120,120,120,120
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
